ID,Principle,Final statement,Status
K1,Finite cyclic kernel,A_k ≅ Z_k,EDF structural premise
K2,Resolved phase,Z|m>=omega_k^m|m>,Exact representation
K3,Coherent primitive evolution,phi_{n+1}=phi_n+Delta phi (mod 2pi),EDF structural premise
K4,Kernel-preserving phase quantization,Delta phi=2pi r/k (mod 2pi),Exact conditional lemma
K5,Primitive recurrence,"L(k,r)=k/gcd(k,r); full recurrence iff gcd(k,r)=1",Exact
K6,Traversal,U_r=X^r,Exact
K7,Primitive equivalence,(U_r)^s=X with rs=1 mod k,Exact
K8,Weyl relation,Z U_r=omega_k^r U_r Z,Exact
K9,Full algebra,"alg(Z,U_r)=M_k(C)",Theorem
K10,Closure capacity,C(k)=k^2,Theorem consequence
K11,Structural precedence,derive relation topology before Fibonacci compatibility,Methodological requirement
K12,Fibonacci compatibility,F_k=C(k),EDF compatibility premise
K13,Arithmetic uniqueness,F_k=k^2 iff k=12 for k>=2,Exact arithmetic consequence
K14,Primitive multiplicity,N_primitive(k)=phi(k),Exact
K15,Twelve-sector generators,"r in {1,5,7,11}",Exact corollary
K16,Subclosure decomposition,"d=gcd(k,r): d cycles of length k/d",Exact
K17,Fundamental/effective distinction,k_fundamental need not equal k_observed,EDF interpretive principle
K18,Environmental role,"environment changes kinetics, not exact DCT zero",Modeling principle + null tests
K19,Transient memory,p_j(infinity)=0 does not imply tau_j=0,Exact within absorbing model
K20,Boundary memory,state elimination induces Delta Q_j and Delta R_j,Exact Schur identity
K21,Target causality is conditional,"C_j may be positive, negative, or near zero",Falsification result
