Theme,Reference,DOI_or_ID,Supports,EDF use
Ostwald stages,"J. Nyvlt, Crystal Research and Technology 30 (1995) 443-449",10.1002/crat.2170300402,Metastable phases can precede stable phases,Methodological precedent
Order by disorder,"J. Villain et al., Journal de Physique 41 (1980) 1263-1272",10.1051/jphys:0198000410110126300,Fluctuations/disorder can select order,Methodological precedent
Synergetics,"H. Haken, Synergetics: An Introduction, Springer",10.1007/978-3-642-96469-5,Nonequilibrium self-organization/order parameters,Conceptual precedent
Two-scale pattern formation,"R. Lifshitz and D. M. Petrich, PRL 79 (1997) 1261-1264",10.1103/PhysRevLett.79.1261,Competing scales can support multiple symmetries including 12-fold,Methodological precedent only
Soft-quasicrystal stability,"K. Jiang et al., PRE 92, 042159 (2015)",10.1103/PhysRevE.92.042159,Stable/metastable symmetry selection,Symmetry-selection precedent
Intermediate quasicrystal pathways,"Z. Jiang et al., PR Materials 4, 023403 (2020)",10.1103/PhysRevMaterials.4.023403,Transient intermediate phases bridge multistep dodecagonal growth,Strong pathway precedent
Entropy-stabilized dodecagonal QC,"E. Fayen et al., PRL 132, 048202 (2024)",10.1103/PhysRevLett.132.048202,Configurational entropy stabilizes dodecagonal quasicrystal,Environmental/statistical precedent
Finite Weyl/Schwinger,"M. A. Marchiolli and P. E. M. F. Mendonca, Annals of Physics 336 (2013) 76-97",10.1016/j.aop.2013.05.009,Finite phase/shift algebra,Standard mathematical framework
Weyl basis,"R. A. Bertlmann and P. Krammer, Bloch vectors for qudits",arXiv:0806.1174,Weyl operator basis in finite dimensions,Standard mathematical framework
Fibonacci perfect powers,"Y. Bugeaud, M. Mignotte, S. Siksek, Annals of Mathematics 163 (2006) 969-1018",10.4007/annals.2006.163.969,"Only Fibonacci perfect powers are 0,1,8,144",External exact theorem
Maximum entropy,"E. T. Jaynes, Physical Review 106 (1957) 620-630",10.1103/PhysRev.106.620,Maximum-entropy inference under constraints,Entry 09 framework
Local detailed balance,"G. Falasco and M. Esposito, PRE 103, 042114 (2021)",10.1103/PhysRevE.103.042114,Coarse-grained jump processes and local detailed balance,Stochastic precedent
Stochastic complementation,"C. D. Meyer, SIAM Review 31 (1989) 240-272",10.1137/1031050,Reduced Markov dynamics after state elimination,Boundary-memory mathematics
Kron/Schur reduction,"F. Dorfler and F. Bullo, IEEE TCAS-I 60 (2013) 150-163",arXiv:1102.2950,Eliminated interior nodes induce effective boundary couplings,Strong mathematical analogy
