result_id,result,depends_on,status
L1,Delta_phi = 2*pi*r/k,"P1, P2",Exact conditional lemma
L2,"gcd(k,r)=1",P3 + L1,Exact conditional lemma
L3,U_r=X^r and X=(U_r)^s,L2,Exact group-theoretic lemma
L4,Z U_r = omega_k^r U_r Z,P1 + L3,Exact operator identity
T_A,"alg(U_r,Z)=M_k(C), C(k)=k^2",P4 + L2 + L4,Exact conditional theorem
P_F,F_k=k^2,P5 + T_A,Exact conditional proposition
T_B,F_k=k^2 iff k=12 for k>=2,Published BMS perfect-power theorem,Exact arithmetic theorem consequence
DCT,k=12,P1-P5 + T_A + T_B,Dynamic Closure Theorem
NUM,Finite computational certificate,Implemented equations,"Verification, not proof"
PHYS,Real-world correspondence,Later empirical tests,"Empirical, not mathematical proof"
